month,method,component,contribution,active_exposure
2020-01-31,equal_weight,factor:MKT_RF,0.0,0.0
2020-01-31,equal_weight,factor:SMB,-0.0,0.0
2020-01-31,equal_weight,factor:HML,0.0,0.0
2020-01-31,equal_weight,factor:RMW,-0.0,0.0
2020-01-31,equal_weight,factor:CMA,0.0,0.0
2020-01-31,equal_weight,factor:MOM,-0.0,0.0
2020-01-31,equal_weight,specific,0.0,
2020-01-31,equal_weight,transaction_cost,-0.001,
2020-01-31,equal_weight,active_net_return,-0.001,
2020-01-31,global_minimum_variance,factor:MKT_RF,-0.005444736951336197,-0.25090234934572575
2020-01-31,global_minimum_variance,factor:SMB,-0.00010466836491168868,0.00816355550140703
2020-01-31,global_minimum_variance,factor:HML,-0.0024927483149700717,-0.17989961430319096
2020-01-31,global_minimum_variance,factor:RMW,-0.0002674608945500716,0.021288486282783653
2020-01-31,global_minimum_variance,factor:CMA,-0.0027532196315521555,-0.24687845153488508
2020-01-31,global_minimum_variance,factor:MOM,0.0005443620206400961,-0.05447190463557032
2020-01-31,global_minimum_variance,specific,0.0009394205352286182,
2020-01-31,global_minimum_variance,transaction_cost,-0.001,
2020-01-31,global_minimum_variance,active_net_return,-0.010579051601451471,
2020-01-31,shrinkage_mean_variance,factor:MKT_RF,-0.004721408093601276,-0.21757017712559423
2020-01-31,shrinkage_mean_variance,factor:SMB,-0.001388629990629344,0.10830548474685328
2020-01-31,shrinkage_mean_variance,factor:HML,-0.0019225323570309946,-0.13874759334434975
2020-01-31,shrinkage_mean_variance,factor:RMW,0.0008268047207981289,-0.06580932508605125
2020-01-31,shrinkage_mean_variance,factor:CMA,-0.002545197233039062,-0.22822529105290323
2020-01-31,shrinkage_mean_variance,factor:MOM,0.0006599125292655837,-0.0660345340031335
2020-01-31,shrinkage_mean_variance,specific,-0.0009847446991721725,
2020-01-31,shrinkage_mean_variance,transaction_cost,-0.0009999999999999998,
2020-01-31,shrinkage_mean_variance,active_net_return,-0.011075795123409136,
2020-01-31,maximum_sharpe_with_gmv_fallback,factor:MKT_RF,-0.0005905652890172284,-0.027214210673684902
2020-01-31,maximum_sharpe_with_gmv_fallback,factor:SMB,-0.0009558593704084748,0.07455176192399039
2020-01-31,maximum_sharpe_with_gmv_fallback,factor:HML,0.0009947573481641756,0.07179082709043927
2020-01-31,maximum_sharpe_with_gmv_fallback,factor:RMW,-0.0008930218032821337,0.07107985801580179
2020-01-31,maximum_sharpe_with_gmv_fallback,factor:CMA,-0.0007541753934271264,-0.06762615346093381
2020-01-31,maximum_sharpe_with_gmv_fallback,factor:MOM,0.0011078274393691591,-0.11085540199705113
2020-01-31,maximum_sharpe_with_gmv_fallback,specific,-0.001225506199597718,
2020-01-31,maximum_sharpe_with_gmv_fallback,transaction_cost,-0.0009999999999999974,
2020-01-31,maximum_sharpe_with_gmv_fallback,active_net_return,-0.0033165432681993437,
2020-01-31,historical_joint_cvar,factor:MKT_RF,-0.004036001051781475,-0.18598550396549074
2020-01-31,historical_joint_cvar,factor:SMB,-0.0008951880799914232,0.06981973570881567
2020-01-31,historical_joint_cvar,factor:HML,-0.0025518316784410894,-0.18416361249199287
2020-01-31,historical_joint_cvar,factor:RMW,-0.001452485639433457,0.11561024897877399
2020-01-31,historical_joint_cvar,factor:CMA,-0.0011282184473049876,-0.10116622011253129
2020-01-31,historical_joint_cvar,factor:MOM,0.0009795738000767079,-0.09802162641423513
2020-01-31,historical_joint_cvar,specific,0.003611922394439489,
2020-01-31,historical_joint_cvar,transaction_cost,-0.0009999999999999916,
2020-01-31,historical_joint_cvar,active_net_return,-0.006472228702436227,
2020-01-31,benchmark_relative_constrained,factor:MKT_RF,-0.003255093233930947,-0.14999999945492704
2020-01-31,benchmark_relative_constrained,factor:SMB,-0.0008080711679021397,0.0630250967789718
2020-01-31,benchmark_relative_constrained,factor:HML,-0.0007589371787540196,-0.05477187765738767
2020-01-31,benchmark_relative_constrained,factor:RMW,0.0010226562006215236,-0.08139807703686275
2020-01-31,benchmark_relative_constrained,factor:CMA,-0.0016728189072334574,-0.14999999883164106
2020-01-31,benchmark_relative_constrained,factor:MOM,0.0011128444969213099,-0.11135743680140903
2020-01-31,benchmark_relative_constrained,specific,-0.0019583214692407425,
2020-01-31,benchmark_relative_constrained,transaction_cost,-0.0010000000000000009,
2020-01-31,benchmark_relative_constrained,active_net_return,-0.007317741259518474,
2020-01-31,exact_cardinality_cvar,factor:MKT_RF,-0.005295592953225105,-0.24402955092564704
2020-01-31,exact_cardinality_cvar,factor:SMB,-0.0007137737054592798,0.05567041450277849
2020-01-31,exact_cardinality_cvar,factor:HML,-0.003303240020833354,-0.23839214016514923
2020-01-31,exact_cardinality_cvar,factor:RMW,-0.0011121876238305833,0.08852430937101559
2020-01-31,exact_cardinality_cvar,factor:CMA,-0.0006463570555986999,-0.057958190910797236
2020-01-31,exact_cardinality_cvar,factor:MOM,0.0010472809398198862,-0.10479678103450216
2020-01-31,exact_cardinality_cvar,specific,0.0020072562030648156,
2020-01-31,exact_cardinality_cvar,transaction_cost,-0.001,
2020-01-31,exact_cardinality_cvar,active_net_return,-0.00901661421606232,
2020-01-31,130_30_mathematical_appendix,factor:MKT_RF,-0.0025349828311062076,-0.1168161388806005
2020-01-31,130_30_mathematical_appendix,factor:SMB,-0.0027008881291190924,0.21065438601012132
2020-01-31,130_30_mathematical_appendix,factor:HML,0.0017233066834691211,0.12436963885217922
2020-01-31,130_30_mathematical_appendix,factor:RMW,0.0007441868163612321,-0.05923337263410153
2020-01-31,130_30_mathematical_appendix,factor:CMA,-0.005122101138704799,-0.4592936877380963
2020-01-31,130_30_mathematical_appendix,factor:MOM,0.000800618059148176,-0.08011431531566801
2020-01-31,130_30_mathematical_appendix,specific,0.001364054292400261,
2020-01-31,130_30_mathematical_appendix,transaction_cost,-0.0015999999999999751,
2020-01-31,130_30_mathematical_appendix,active_net_return,-0.007325806247551284,
2020-02-29,equal_weight,factor:MKT_RF,-0.0,0.0
2020-02-29,equal_weight,factor:SMB,0.0,0.0
2020-02-29,equal_weight,factor:HML,-0.0,0.0
2020-02-29,equal_weight,factor:RMW,0.0,0.0
2020-02-29,equal_weight,factor:CMA,-0.0,0.0
2020-02-29,equal_weight,factor:MOM,0.0,0.0
2020-02-29,equal_weight,specific,0.0,
2020-02-29,equal_weight,transaction_cost,-7.724659984004504e-06,
2020-02-29,equal_weight,active_net_return,-7.724659984004504e-06,
2020-02-29,global_minimum_variance,factor:MKT_RF,0.001073637438878997,-0.2514339453108059
2020-02-29,global_minimum_variance,factor:SMB,0.0004758894372574207,0.0107605731051511
2020-02-29,global_minimum_variance,factor:HML,0.0034153847764509626,-0.1814338391779046
2020-02-29,global_minimum_variance,factor:RMW,0.000554084922297997,0.02299639642033728
2020-02-29,global_minimum_variance,factor:CMA,0.0016204830489106538,-0.24967290066113557
2020-02-29,global_minimum_variance,factor:MOM,-0.0026528763562107876,-0.054610586263849986
2020-02-29,global_minimum_variance,specific,-0.011765460005320265,
2020-02-29,global_minimum_variance,transaction_cost,-1.8152704153984428e-06,
2020-02-29,global_minimum_variance,active_net_return,-0.007280672008150419,
2020-02-29,shrinkage_mean_variance,factor:MKT_RF,0.000888685107488931,-0.2081201666627822
2020-02-29,shrinkage_mean_variance,factor:SMB,0.0040463792583266016,0.09149469690128435
2020-02-29,shrinkage_mean_variance,factor:HML,0.0024683217313073453,-0.13112346553898563
2020-02-29,shrinkage_mean_variance,factor:RMW,-0.0014056260746568756,-0.058338231434833195
2020-02-29,shrinkage_mean_variance,factor:CMA,0.0013474954802237833,-0.2076128506258699
2020-02-29,shrinkage_mean_variance,factor:MOM,-0.003267274004922782,-0.06725822274971227
2020-02-29,shrinkage_mean_variance,specific,-0.007341957488067874,
2020-02-29,shrinkage_mean_variance,transaction_cost,-4.1957780482165474e-05,
2020-02-29,shrinkage_mean_variance,active_net_return,-0.0033059337707830347,
2020-02-29,maximum_sharpe_with_gmv_fallback,factor:MKT_RF,-4.045436950506227e-05,0.009473963333785473
2020-02-29,maximum_sharpe_with_gmv_fallback,factor:SMB,0.004548723927575763,0.10285346243428477
2020-02-29,maximum_sharpe_with_gmv_fallback,factor:HML,-0.0015922268509388528,0.08458309950897241
2020-02-29,maximum_sharpe_with_gmv_fallback,factor:RMW,0.003206808483998278,0.13309338726684172
2020-02-29,maximum_sharpe_with_gmv_fallback,factor:CMA,-0.00014321926681538273,0.02206624117444209
2020-02-29,maximum_sharpe_with_gmv_fallback,factor:MOM,-0.005035850530221758,-0.10366512150055088
2020-02-29,maximum_sharpe_with_gmv_fallback,specific,-0.00953761210211869,
